,Tipo,Empresa,Setor,Subsetor,Cotação,Data últ cot,Min 52 sem,Max 52 sem,Vol $ méd (2m),Valor de mercado,Valor da firma,Últ balanço processado,Nro Ações,oscilations_Dia,oscilations_Mês,oscilations_30 dias,oscilations_12 meses,oscilations_2020,oscilations_2019,oscilations_2018,oscilations_2017,oscilations_2016,oscilations_2015,,indicator_P/L,indicator_P/VP,indicator_P/EBIT,indicator_PSR,indicator_P/Ativos,indicator_P/Cap Giro,indicator_P/Ativ Circ Liq,indicator_Div Yield,indicator_EV / EBITDA,indicator_EV / EBIT,indicator_Cres Rec (5a),indicator_LPA,indicator_VPA,indicator_Marg Bruta,indicator_Marg EBIT,indicator_Marg Líquida,indicator_EBIT / Ativo,indicator_ROIC,indicator_ROE,indicator_Liquidez Corr,indicator_Div Br/ Patrim,indicator_Giro Ativos,Ativo,Disponibilidades,Ativo Circulante,Dív Bruta,Dív Líquida,Patrim Líq,demonstrative12m_Receita Líquida,demonstrative12m_EBIT,demonstrative12m_Lucro Líquido,demontrative3m_Receita Líquida,demontrative3m_EBIT,demontrative3m_Lucro Líquido,Cart de Crédito,Depósitos,demonstrative12m_Result Int Financ,demonstrative12m_Rec Serviços,demontrative3m_Result Int Financ,demontrative3m_Rec Serviços
BTOW3,ON,B2W - COMPANHIA GLOBAL DO VAREJO ON,Comércio,Produtos Diversos,10705,30/06/2020,3147,10705,433699000,56011700000,56250900000,31/03/2020,523229000,"0,85%","16,84%","16,84%","231,01%","70,30%","51,36%","104,99%","105,89%","-33,06%","-30,69%",,-19519,995,31376,780,347,1125,-5373,"0,0%",7800,31510,"-6,4%",-055,1076,"29,7%","2,5%","-4,0%","1,1%","2,6%","-5,1%",211,121,045,16129000000,6549580000,9454940000,6788820000,239233000,5631640000,7181660000,178517000,-286959000,1696240000,-18608000,-107963000,,,,,,
JBDU3,ON,J B DUARTE ON,Holdings Diversificadas,Holdings Diversificadas,340,30/06/2020,185,798,71087,17064600,21677600,30/09/2019,5019000,"-1,45%","76,17%","76,17%","-1,45%","3,03%","-66,97%","-71,54%","-42,08%","-89,89%","194,84%",,-145,025,-157,-,009,-,-,"0,0%",-199,-199,-,-235,1356,-,-,"0,0%","-5,7%",-,"-17,3%",-,-,-,191199000,1000,7000,4614000,4613000,68038000,0,-10898000,-11781000,0,0,-292000,,,,,,
EMBR3,ON,EMBRAER ON,Material de Transporte,Material Aeronáutico,809,30/06/2020,619,2050,173437000,5990360000,4381950000,31/03/2020,740465000,"-3,92%","13,15%","13,15%","-58,32%","-59,00%","-8,99%","8,89%","27,14%","-46,72%","21,50%",,-246,036,1222,056,010,056,088,"0,0%",316,894,"-14,9%",-329,2239,"14,8%","4,6%","-22,6%","0,9%","1,0%","-14,7%",130,022,019,57435900000,5201990000,47172600000,3593570000,-1608420000,16580900000,10649000000,490344000,-2432500000,1693230000,205752000,-1276490000,,,,,,
TECN3,ON NM,TECHNOS ON NM,"Tecidos, Vestuário e Calçados",Acessórios,150,30/06/2020,095,407,620715,117759000,202605000,31/03/2020,78506000,"-1,96%","27,12%","27,12%","-31,51%","-58,33%","46,34%","-30,70%","-1,39%","0,84%","-46,56%",,-090,036,-282,040,017,055,491,"0,0%",-375,-485,"-6,6%",-166,416,"33,9%","-14,1%","-44,1%","-6,2%","-7,6%","-39,8%",236,042,044,677825000,52995000,374857000,137841000,84846000,326951000,295167000,-41735000,-130158000,41915000,-14594000,-17435000,,,,,,
LPSB3,ON NM,LOPES BRASIL ON NM,Construção e Engenharia,Intermediação Imobiliária,532,30/06/2020,305,1027,5771180,784991000,641133000,31/03/2020,147555000,"-1,48%","41,49%","41,49%","11,30%","-44,18%","50,79%","13,06%","43,33%","74,11%","-64,16%",,-10228,460,2781,518,205,683,-2066,"0,0%",1312,2271,"-6,2%",-005,116,"84,7%","18,6%","-4,1%","7,4%","12,4%","-4,5%",283,004,040,382392000,149858000,177537000,6000000,-143858000,170629000,151408000,28227000,-7675000,29680000,782000,-8183000,,,,,,
OMGE3,ON NM,OMEGA GER ON NM,Energia Elétrica,Energia Elétrica,3772,30/06/2020,2411,4300,28209400,6417420000,10182600000,31/03/2020,170133000,"6,73%","17,80%","17,80%","57,82%","3,34%","109,17%","0,23%","6,09%","0,00%","0,00%",,-1048600,232,1955,636,083,1090,-163,"0,0%",1890,3102,"70,3%",-000,1624,"36,7%","32,5%","0,5%","4,2%","4,7%","-0,0%",246,162,013,7728470000,709264000,993427000,4474470000,3765200000,2762890000,1009190000,328293000,-612000,192873000,6021000,-52934000,,,,,,
AZEV4,PN,AZEVEDO & TRAVASSOS PN,Construção e Engenharia,Construção Pesada,471,30/06/2020,171,674,931608,25434000,59415000,31/12/2019,5400000,"-5,42%","34,57%","34,57%","137,88%","5,84%","-8,25%","-8,49%","3,92%","-24,44%","-21,51%",,-071,-010,-190,1451,046,-013,-009,"0,0%",-560,-444,"-68,9%",-663,-4562,"-398,0%","-763,5%","-2041,2%","-24,2%","-52,3%","14,5%",010,-014,003,55305000,46000,21255000,34027000,33981000,-246370000,1753000,-13384000,-35784000,-95847000,92518000,221217000,,,,,,
SGPS3,ON NM,Springs ON NM,"Tecidos, Vestuário e Calçados",Fios e Tecidos,708,30/06/2020,387,1524,1254420,354000000,1196370000,31/03/2020,50000000,"4,12%","28,26%","28,26%","-23,38%","-42,39%","78,12%","-36,17%","154,35%","47,06%","24,57%",,-112,029,567,026,011,129,-045,"0,0%",792,1918,"-15,3%",-633,2464,"32,3%","4,5%","-22,9%","1,9%","2,2%","-25,7%",130,084,043,3207870000,191439000,1188430000,1033800000,842366000,1231790000,1384270000,62382000,-316434000,302414000,-767000,-202778000,,,,,,
RANI4,PN,CELULOSE IRANI PN,Madeira e Papel,Papel e Celulose,620,30/06/2020,257,1158,97493,1033670000,1752910000,31/03/2020,166720000,"-0,80%","-3,88%","-3,88%","137,11%","44,47%","49,31%","49,22%","-28,25%","-17,23%","0,93%",,-1871,292,790,114,066,1274,-144,"0,2%",701,1340,"5,3%",-033,213,"30,7%","14,5%","-6,1%","8,4%","9,4%","-15,6%",120,231,058,1563840000,98588000,490402000,817837000,719249000,354473000,904078000,130850000,-55241000,236323000,39102000,17988000,,,,,,
SQIA3,ON,SINQIA ON,Programas e Serviços,Programas e Serviços,1924,30/06/2020,974,2949,16879200,1357360000,1098070000,31/03/2020,70549000,"2,78%","-1,89%","-1,89%","99,38%","-21,47%","287,66%","-4,53%","93,57%","54,75%","11,06%",,-75075,321,242820,733,223,420,701,"0,0%",6207,196436,"24,5%",-003,600,"33,2%","0,3%","-1,0%","0,1%","0,2%","-0,4%",681,019,030,608760000,340917000,379092000,81629000,-259288000,423255000,185235000,559000,-1808000,48622000,-1287000,430000,,,,,,
